timestamps,open,high,low,close,volume,amount
2023.12.22,7604,7664,7570,7624,360461,409787
2023.12.25,7624,7644,7584,7627,344189,407095
2023.12.26,7636,7642,7593,7601,262324,409465
2023.12.27,7611,7650,7568,7632,336976,411030
2023.12.28,7641,7658,7595,7619,338313,403218
2023.12.29,7609,7624,7542,7560,326126,388945
2024.01.02,7523,7553,7454,7492,277024,389928
2024.01.03,7492,7507,7456,7477,269230,379087
2024.01.04,7480,7528,7435,7450,315821,379066
2024.01.05,7443,7449,7371,7377,296277,410609
2024.01.08,7371,7391,7304,7312,332538,449741
2024.01.09,7312,7349,7301,7317,322275,460959
2024.01.10,7322,7336,7205,7209,366902,511631
2024.01.11,7215,7264,7199,7247,278234,508290
2024.01.12,7263,7281,7240,7266,247305,496372
2024.01.15,7299,7367,7269,7352,318460,476189
2024.01.16,7346,7386,7334,7375,279169,450694
2024.01.17,7383,7396,7311,7315,272428,464577
2024.01.18,7300,7359,7271,7348,316306,449739
2024.01.19,7348,7369,7328,7356,229882,441734
2024.01.22,7364,7473,7360,7429,471435,383303
2024.01.23,7429,7477,7419,7467,249785,367457
2024.01.24,7467,7492,7450,7489,229839,369252
2024.01.25,7489,7507,7442,7456,245150,378462
2024.01.26,7447,7485,7429,7443,258700,371254
2024.01.29,7443,7530,7421,7519,355578,374777
2024.01.30,7520,7540,7451,7456,275745,379559
2024.01.31,7445,7490,7428,7440,296561,381524
2024.02.01,7439,7439,7342,7345,358332,387713
2024.02.02,7350,7379,7318,7322,269400,392254
2024.02.05,7318,7343,7307,7316,237217,403438
2024.02.06,7316,7398,7285,7383,300916,388188
2024.02.07,7383,7466,7355,7459,289168,374833
2024.02.08,7459,7488,7432,7461,198061,360188
2024.02.19,7535,7538,7475,7497,185440,371870
2024.02.20,7497,7509,7368,7376,293144,377163
2024.02.21,7363,7434,7352,7389,309313,372052
2024.02.22,7389,7415,7365,7400,244219,378591
2024.02.23,7398,7439,7385,7404,229884,389780
2024.02.26,7404,7457,7381,7382,341991,409701
2024.02.27,7382,7488,7368,7486,319247,418848
2024.02.28,7486,7529,7460,7468,348927,420544
2024.02.29,7468,7508,7452,7493,262092,417180
2024.03.01,7490,7518,7465,7497,253687,412952
2024.03.04,7530,7548,7463,7496,305556,400710
2024.03.05,7484,7499,7417,7418,282292,386855
2024.03.06,7406,7465,7406,7451,264771,378350
2024.03.07,7436,7452,7415,7415,272738,390307
2024.03.08,7425,7450,7393,7448,290602,397250
2024.03.11,7435,7486,7379,7470,481978,405316
2024.03.12,7470,7489,7426,7436,363434,393929
2024.03.13,7436,7466,7401,7426,304900,400450
2024.03.14,7446,7498,7420,7492,413326,401445
2024.03.15,7506,7593,7491,7590,520958,436920
2024.03.18,7593,7620,7530,7610,462813,447634
2024.03.19,7600,7648,7582,7617,382388,451386
2024.03.20,7618,7649,7601,7635,272564,450110
2024.03.21,7620,7625,7566,7593,340519,436356
2024.03.22,7593,7606,7518,7533,357980,404490
2024.03.25,7543,7551,7504,7506,275141,374646
2024.03.26,7526,7550,7488,7497,298413,353226
2024.03.27,7510,7527,7459,7470,270625,333046
2024.03.28,7477,7496,7451,7472,275667,324264
2024.03.29,7512,7515,7464,7483,222034,313000
2024.04.01,7483,7550,7479,7539,252804,307364
2024.04.02,7527,7567,7521,7560,240681,298983
2024.04.03,7567,7600,7562,7597,224686,283582
2024.04.08,7600,7621,7560,7589,224884,266139
2024.04.09,7596,7616,7580,7598,194477,255359
2024.04.10,7585,7602,7544,7577,227660,232247
2024.04.11,7584,7633,7561,7608,213209,223983
2024.04.12,7583,7598,7558,7575,188661,184036
2024.04.15,7597,7635,7559,7602,407805,318759
2024.04.16,7602,7649,7554,7580,477360,337576
2024.04.17,7590,7628,7572,7618,282474,350962
2024.04.18,7610,7635,7559,7608,434961,360312
2024.04.19,7610,7720,7575,7650,691168,407868
2024.04.22,7620,7657,7612,7626,353435,410356
2024.04.23,7625,7639,7545,7554,433689,389934
2024.04.24,7543,7572,7534,7555,282641,376448
2024.04.25,7561,7590,7545,7568,264168,370598
2024.04.26,7579,7628,7558,7626,346955,359227
2024.04.29,7632,7649,7608,7636,301061,376520
2024.04.30,7634,7649,7613,7619,238029,378247
2024.05.06,7574,7579,7508,7529,376441,397665
2024.05.07,7530,7608,7523,7593,385589,421062
2024.05.08,7587,7613,7563,7567,317435,419516
2024.05.09,7567,7591,7538,7558,332695,414836
2024.05.10,7561,7573,7501,7540,356232,420470
2024.05.13,7540,7586,7515,7584,357971,434253
2024.05.14,7590,7606,7555,7564,365196,434210
2024.05.15,7553,7594,7546,7590,282362,450789
2024.05.16,7577,7623,7561,7619,368968,478339
2024.05.17,7619,7777,7619,7774,593698,565159
2024.05.20,7785,7853,7774,7837,517263,581140
2024.05.21,7814,7855,7762,7794,439448,565378
